sc,del3,t1,Bl,t2,del4,B_g,th_maxl,th_min,th_maxr,x1,x2,x3,x4
mms1,2016-01-22 07:18:44,2016-01-22 07:18:45,2016-01-22 07:18:48.919564,2016-01-22 07:18:52,2016-01-22 07:18:53,34.28,2016-01-22 07:18:45.979564,2016-01-22 07:18:48.319564,2016-01-22 07:18:51.229564,2016-01-22 07:18:45.578976314,2016-01-22 07:18:46.958918636,2016-01-22 07:18:50.211191938,2016-01-22 07:18:51.685059209
mms2,2016-01-22 07:18:44,2016-01-22 07:18:45,2016-01-22 07:18:48.679564,2016-01-22 07:18:52,2016-01-22 07:18:53,35.63,2016-01-22 07:18:45.919564,2016-01-22 07:18:48.409564,2016-01-22 07:18:51.199564,2016-01-22 07:18:45.518805131,2016-01-22 07:18:46.540364918,2016-01-22 07:18:50.201375902,2016-01-22 07:18:51.454212246
mms3,2016-01-22 07:18:44,2016-01-22 07:18:45,2016-01-22 07:18:49.279564,2016-01-22 07:18:52,2016-01-22 07:18:53,34.25,2016-01-22 07:18:46.159564,2016-01-22 07:18:49.429564,2016-01-22 07:18:51.439564,2016-01-22 07:18:45.649396100,2016-01-22 07:18:47.169953894,2016-01-22 07:18:50.623794221,2016-01-22 07:18:52.075869809
mms4,2016-01-22 07:18:44,2016-01-22 07:18:45,2016-01-22 07:18:48.919564,2016-01-22 07:18:52,2016-01-22 07:18:53,34.65,2016-01-22 07:18:46.009564,2016-01-22 07:18:48.559564,2016-01-22 07:18:51.319564,2016-01-22 07:18:45.596956846,2016-01-22 07:18:46.956898006,2016-01-22 07:18:50.275472694,2016-01-22 07:18:51.693104753
