time,L,M,N
2016-01-22 07:18:44.029564,50.288061471574466,43.11453961992231,6.831726241498359
2016-01-22 07:18:44.059564,50.264515628675724,43.27495291922565,6.95070556743782
2016-01-22 07:18:44.089564,50.19698001838484,43.4553751064229,7.35226310209442
2016-01-22 07:18:44.119564,50.02756839323179,43.25914613127319,7.535055818718552
2016-01-22 07:18:44.149564,50.188513388946376,43.114821426729776,7.472708037141135
2016-01-22 07:18:44.179564,50.29268996272883,42.682348476472804,7.344666903462081
2016-01-22 07:18:44.209564,50.542167910575444,42.36712087127182,7.130543158482318
2016-01-22 07:18:44.239564,50.73813923825718,42.16060508544089,6.874300531126918
2016-01-22 07:18:44.269564,50.714247069509526,42.1602107461549,7.60176281498625
2016-01-22 07:18:44.299564,50.60941523193193,42.13713200523113,7.932240340687926
2016-01-22 07:18:44.329564,50.38658078749644,42.113564259458215,8.38628272276443
2016-01-22 07:18:44.359564,49.9525878374269,41.5209029701384,8.276555105493605
2016-01-22 07:18:44.389564,50.122604633267365,41.039274646834365,7.859690842565014
2016-01-22 07:18:44.419564,50.135756014396804,40.68889510787488,7.436566239668168
2016-01-22 07:18:44.449564,50.36472951463258,40.31915639715286,7.2591597887971
2016-01-22 07:18:44.479564,50.692623725561305,39.90371503994088,6.83232876325362
2016-01-22 07:18:44.509564,50.91708779556889,39.83786567780861,6.708581877007551
2016-01-22 07:18:44.539564,51.1961634877801,39.132122679907205,6.299482177485182
2016-01-22 07:18:44.569564,51.75912293087389,38.29490496911416,5.856809039848344
2016-01-22 07:18:44.599564,51.529131297198006,37.44261974219134,5.435370793442818
2016-01-22 07:18:44.629564,50.911948515086515,37.999586189515796,5.71907904797658
2016-01-22 07:18:44.659564,50.64460177782928,38.209980821423486,6.00436301384273
2016-01-22 07:18:44.689564,50.59440716774704,38.37711038776439,6.324243011845755
2016-01-22 07:18:44.719564,50.938791256470424,38.70104028675066,6.710262825364781
2016-01-22 07:18:44.749564,51.01232834500722,39.05274507783207,7.069441178299404
